,0
0,0.2640973041998076
1,0.40348749097180747
2,0.2753036041594378
3,0.22171146951793813
4,0.274324886922116
5,0.4159714278014108
6,0.46494725966653505
7,0.842921932087602
8,0.2188194756113466
9,0.10219924831072952
10,0.5934765449973877
11,0.34554788798393543
12,0.16352641142471344
13,0.0794274063629592
14,0.09652025913192683
15,0.08962482658191354
16,0.251562156617685
17,0.7505074155338949
18,0.46157902094803727
19,0.28404968990031865
20,0.19963775467347683
21,0.17967117800720084
22,0.18595657147590683
23,0.06575737092119464
24,0.07483414044641956
25,0.0927927522965114
26,0.14364756473697707
27,0.13098391379181665
28,0.18658181745412855
29,0.06495496219490145
30,0.12231418130873492
31,0.09179017907616999
32,0.20635720258470927
33,0.18765512136089685
34,0.4014998839091787
35,0.3220167750611809
36,0.30536142024892343
37,0.2224502976277451
38,0.14758613160671663
39,0.1332729571160045
40,0.6861223367469855
41,5.1009418846478525
42,3.1552104985096676
43,9.12304647617
44,1.118889385439047
45,0.5178793322915409
46,0.5197369024641865
47,0.1461281723241929
48,0.12162236211578809
49,0.16182527018012394
50,1.878001877886133
51,0.6531758403609889
52,2.532445815969113
53,2.466131676727012
54,1.3612295757189892
55,1.576434668245309
56,0.22612980686690487
57,0.16761030509259878
58,0.15699275907879026
59,0.16919228309545864
60,0.3520339136527181
61,1.2902451782194018
62,0.8724936487771062
63,3.2986609084331207
64,1.7940356199926344
65,2.08310641735976
66,0.6261497414006001
67,0.23200650383389523
68,0.20957363127540765
69,0.17489370039278113
70,0.3480883463109241
71,0.13005160637573948
72,0.2506985481255847
73,0.2408788357318444
74,0.21516005753325673
75,0.4087169852160339
76,0.753171730586103
77,4.955200252090838
78,3.6044485356714517
79,1.7909720919290002
80,1.6758200297174568
81,1.3099867302993748
82,2.3107184583913503
83,0.8990287951513464
84,6.764080514035552
85,3.111048291769163
86,3.59234153119193
87,3.465323882232333
88,13.211433791041431
89,14.33990080586072
90,7.382307442250895
91,3.8284643638235902
92,7.2812457412773535
93,17.99988126049816
94,7.963083515476195
95,8.073459309972911
96,6.273443281140496
97,6.72568060674579
98,11.67454636421665
99,13.689769662805425
100,13.959550199592426
101,12.66342636920673
102,15.738808920797098
103,20.16715521401966
104,15.879255303136484
105,14.236806109766098
106,8.80565368582206
107,15.136871649195351
