,year,month,day,daysince,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
0,2021,8,2,211,32.3,25.3,38.2,29.6,20.79,0.0,7.6,16.9,134.0,4.45,0,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
1,2021,8,3,212,31.7,25.5,37.4,30.3,20.01,0.0,10.2,21.6,131.0,4.32,0,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
2,2021,8,4,213,32.6,25.7,37.1,30.8,20.89,0.0,17.3,32.4,116.0,4.73,0,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
3,2021,8,5,214,32.0,25.7,36.8,31.1,22.19,0.0,15.8,29.2,115.0,4.96,0,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
4,2021,8,6,215,31.9,26.3,36.0,31.6,21.84,0.0,20.2,36.7,106.0,4.99,0,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
5,2021,8,7,216,31.7,27.0,36.1,31.9,20.43,0.0,16.9,33.8,107.0,4.68,0,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
6,2021,8,8,217,31.6,27.0,36.5,32.0,20.67,0.0,17.1,34.6,106.0,4.63,0,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
7,2021,8,9,218,31.7,26.8,36.9,31.5,20.2,0.0,15.8,29.9,115.0,4.51,0,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
8,2021,8,10,219,32.0,26.2,37.1,31.3,21.56,0.0,14.5,27.7,120.0,4.88,0,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
9,2021,8,11,220,31.8,24.0,35.2,27.6,23.82,0.0,15.7,30.2,128.0,5.37,0,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
10,2021,8,12,221,32.1,24.6,37.4,28.4,21.15,0.0,16.8,34.2,126.0,4.73,0,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
11,2021,8,13,222,32.2,25.3,38.4,30.7,23.03,0.0,10.5,26.3,105.0,4.85,0,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
12,2021,8,14,223,32.3,25.6,36.3,30.9,22.61,0.0,19.1,41.4,112.0,5.08,0,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
13,2021,8,15,224,32.1,26.2,35.9,31.3,23.62,0.0,19.1,37.1,109.0,5.37,0,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
14,2021,8,16,225,31.8,25.7,36.1,30.4,23.36,0.0,17.3,32.4,114.0,5.27,0,0.9940563382223196,0.10886687485196474,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
